gtin	name	brand	price_chf	category	url	availability
4007922060668	BRESSER Sonnenfinsternis-Brille, 1 Stück	Bresser	3.9	gesellschaftsspiele	https://www.exlibris.ch/de/hobby-spiele-brettspiele/bresser-sonnenfinsternis-brille-1-stueck/id/4007922060668/	Auslieferung erfolgt in der Regel innert 3 Wochen.
4260470080001	Skyjo	Magilano	19.9	gesellschaftsspiele	https://www.exlibris.ch/de/hobby-spiele-brettspiele/skyjo/id/4260470080001/	Sofort versandbereit
4002051685430	Flip 7	Kosmos	15.1	gesellschaftsspiele	https://www.exlibris.ch/de/hobby-spiele-brettspiele/flip-7/id/4002051685430/	Sofort versandbereit
8710126198872	Hitster	Jumbo Spiele GmbH	21.9	gesellschaftsspiele	https://www.exlibris.ch/de/hobby-spiele-brettspiele/hitster/id/8710126198872/	Sofort versandbereit
4270003101202	Cabo	Landmesser und Zlatintsis GbR	11.5	gesellschaftsspiele	https://www.exlibris.ch/de/hobby-spiele-brettspiele/cabo/id/4270003101202/	Sofort versandbereit
5414301518587	IQ Puzzler PRO (Spiel)	SMART Toys and Games GmbH	11.9	puzzles	https://www.exlibris.ch/de/hobby-spiele-brettspiele/iq-puzzler-pro-spiel/id/5414301518587/	Sofort versandbereit
4005556179565	Puzzle Roll & Go - Puzzlematte	Ravensburger Verlag GmbH	17.9	puzzles	https://www.exlibris.ch/de/hobby-spiele-brettspiele/puzzle-roll-go-puzzlematte/id/4005556179565/	Sofort versandbereit
4005556179015	Puzzle Rahmen für 1000 Teile Puzzle	Ravensburger	25.8	puzzles	https://www.exlibris.ch/de/hobby-spiele-brettspiele/puzzle-rahmen-fuer-1000-teile-puzzle/id/4005556179015/	Sofort versandbereit
4005556063765	Tierkinder des Waldes Kinderpuzzle	Ravensburger Verlag GmbH	5.9	puzzles	https://www.exlibris.ch/de/hobby-spiele-brettspiele/tierkinder-des-waldes-kinderpuzzle/id/4005556063765/	Sofort versandbereit
4012426885013	QWIXX GEMIXXT XL - ZUSATZBLÖCKE	Cartamundi Deutschland GmbH	6.9	puzzles	https://www.exlibris.ch/de/hobby-spiele-brettspiele/qwixx-gemixxt-xl-zusatzbloecke/id/4012426885013/	Sofort versandbereit
